plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd
2 8 6 FM 837.20000 870.00000 4 6 753.50000 918.40000 753.50000 821.70000 837.30000 773.40000 920.90000 821.70000 921.00000 918.40000 837.20000 966.70000 753.50000 918.40000 0 0 0.00000 2.00000 0.70000 1.00000 0.69200 1.00000
2 7 5 FM 753.50000 725.00000 4 6 669.70000 773.40000 669.80000 676.70000 753.50000 628.30000 837.20000 676.70000 837.30000 773.40000 753.50000 821.70000 669.70000 773.40000 0 0 0.00000 2.00000 0.87600 1.00000 0.85100 1.00000
2 6 4 FM 669.80000 580.00000 4 6 586.00000 628.40000 586.10000 531.70000 669.80000 483.40000 753.50000 531.70000 753.50000 628.30000 669.80000 676.70000 586.00000 628.40000 0 0 0.00000 2.00000 1.12500 1.00000 1.10400 1.00000
2 5 3 FI 586.00000 435.00000 1 6 502.30000 483.40000 502.30000 386.60000 586.10000 338.30000 669.80000 386.70000 669.80000 483.40000 586.10000 531.70000 502.30000 483.40000 0 0 0.00000 2.00000 1.80900 2.00000 1.85900 2.00000
2 4 2 FI 502.30000 290.00000 1 6 418.60000 338.40000 418.60000 241.70000 502.40000 193.30000 586.00000 241.70000 586.10000 338.30000 502.30000 386.60000 418.60000 338.40000 0 0 0.00000 2.00000 2.45400 2.00000 2.62300 3.00000
2 3 1 FI 418.60000 145.00000 0 6 334.90000 193.40000 334.90000 96.70000 418.70000 48.30000 502.30000 96.70000 502.40000 193.30000 418.60000 241.70000 334.90000 193.40000 0 0 0.00000 2.00000 3.33700 3.00000 3.98700 4.00000
2 8 5 FM 920.90000 725.00000 4 6 837.30000 773.40000 837.20000 676.70000 920.90000 628.30000 1004.70000 676.70000 1004.70000 773.40000 920.90000 821.70000 837.30000 773.40000 0 0 0.00000 2.00000 0.75900 1.00000 0.74400 1.00000
2 7 4 FM 837.20000 580.00000 4 6 753.50000 628.30000 753.50000 531.70000 837.20000 483.30000 920.90000 531.70000 920.90000 628.30000 837.20000 676.70000 753.50000 628.30000 0 0 0.00000 2.00000 0.90700 1.00000 0.88100 1.00000
2 6 3 FM 753.50000 435.00000 4 6 669.80000 483.40000 669.80000 386.70000 753.50000 338.40000 837.20000 386.70000 837.20000 483.30000 753.50000 531.70000 669.80000 483.40000 0 0 0.00000 2.00000 1.16800 1.00000 1.14400 1.00000
2 5 2 FI 669.80000 290.00000 0 6 586.10000 338.30000 586.00000 241.70000 669.80000 193.30000 753.50000 241.60000 753.50000 338.40000 669.80000 386.70000 586.10000 338.30000 0 0 0.00000 2.00000 1.81300 2.00000 1.86500 2.00000
2 4 1 FI 586.00000 145.00000 0 6 502.40000 193.30000 502.30000 96.70000 586.10000 48.30000 669.80000 96.70000 669.80000 193.30000 586.00000 241.70000 502.40000 193.30000 0 0 0.00000 2.00000 2.32400 2.00000 2.45900 2.00000
2 3 0 FI 502.30000 0.00000 0 6 418.70000 48.30000 418.60000 -48.40000 502.30000 -96.70000 586.10000 -48.30000 586.10000 48.30000 502.30000 96.70000 418.70000 48.30000 0 0 0.00000 2.00000 2.87800 3.00000 3.28400 3.00000
2 9 5 FO 1088.40000 725.00000 4 6 1004.70000 773.40000 1004.70000 676.70000 1088.40000 628.40000 1172.10000 676.70000 1172.10000 773.40000 1088.40000 821.70000 1004.70000 773.40000 0 0 0.00000 2.00000 0.65600 1.00000 0.65600 1.00000
2 8 4 FM 1004.60000 580.00000 0 6 920.90000 628.30000 920.90000 531.70000 1004.70000 483.30000 1088.30000 531.70000 1088.40000 628.40000 1004.70000 676.70000 920.90000 628.30000 0 0 0.00000 2.00000 0.77000 1.00000 0.75300 1.00000
2 7 3 FM 920.90000 435.00000 4 6 837.20000 483.30000 837.20000 386.70000 921.00000 338.40000 1004.60000 386.70000 1004.70000 483.30000 920.90000 531.70000 837.20000 483.30000 0 0 0.00000 2.00000 0.91100 1.00000 0.88600 1.00000
2 6 2 FM 837.20000 290.00000 3 6 753.50000 338.40000 753.50000 241.60000 837.20000 193.30000 920.90000 241.70000 921.00000 338.40000 837.20000 386.70000 753.50000 338.40000 0 0 0.00000 2.00000 1.12500 1.00000 1.10500 1.00000
2 5 1 FI 753.50000 145.00000 0 6 669.80000 193.30000 669.80000 96.70000 753.50000 48.30000 837.20000 96.70000 837.20000 193.30000 753.50000 241.60000 669.80000 193.30000 0 0 0.00000 2.00000 1.78900 2.00000 1.77200 2.00000
2 4 0 FI 669.80000 -0.00000 0 6 586.10000 48.30000 586.10000 -48.30000 669.80000 -96.70000 753.50000 -48.30000 753.50000 48.30000 669.80000 96.70000 586.10000 48.30000 0 0 0.00000 2.00000 2.00500 2.00000 2.12800 2.00000
2 9 4 FO 1172.10000 580.00000 3 6 1088.40000 628.40000 1088.30000 531.70000 1172.10000 483.30000 1255.80000 531.70000 1255.80000 628.40000 1172.10000 676.70000 1088.40000 628.40000 0 0 0.00000 2.00000 0.66300 1.00000 0.66300 1.00000
2 8 3 FM 1088.40000 435.00000 0 6 1004.70000 483.30000 1004.60000 386.70000 1088.40000 338.30000 1172.10000 386.70000 1172.10000 483.30000 1088.30000 531.70000 1004.70000 483.30000 0 0 0.00000 2.00000 0.76000 1.00000 0.74400 1.00000
2 7 2 FM 1004.60000 290.00000 3 6 921.00000 338.40000 920.90000 241.70000 1004.70000 193.40000 1088.40000 241.70000 1088.40000 338.30000 1004.60000 386.70000 921.00000 338.40000 0 0 0.00000 2.00000 0.87500 1.00000 0.85000 1.00000
2 6 1 FM 920.90000 145.00000 3 6 837.20000 193.30000 837.20000 96.70000 920.90000 48.30000 1004.60000 96.60000 1004.70000 193.40000 920.90000 241.70000 837.20000 193.30000 0 0 0.00000 2.00000 1.03700 1.00000 1.01600 1.00000
2 5 0 FM 837.20000 -0.00000 3 6 753.50000 48.30000 753.50000 -48.30000 837.20000 -96.70000 920.90000 -48.30000 920.90000 48.30000 837.20000 96.70000 753.50000 48.30000 0 0 0.00000 2.00000 1.23200 1.00000 1.21200 1.00000
2 8 2 FM 1172.10000 290.00000 3 6 1088.40000 338.30000 1088.40000 241.70000 1172.10000 193.40000 1255.80000 241.70000 1255.80000 338.30000 1172.10000 386.70000 1088.40000 338.30000 0 0 0.00000 2.00000 0.70100 1.00000 0.69200 1.00000
2 7 1 FM 1088.40000 145.00000 3 6 1004.70000 193.40000 1004.60000 96.60000 1088.40000 48.30000 1172.10000 96.70000 1172.10000 193.40000 1088.40000 241.70000 1004.70000 193.40000 0 0 0.00000 2.00000 0.82900 1.00000 0.80600 1.00000
2 6 0 FM 1004.60000 -0.00000 0 6 920.90000 48.30000 920.90000 -48.30000 1004.70000 -96.70000 1088.30000 -48.30000 1088.40000 48.30000 1004.60000 96.60000 920.90000 48.30000 0 0 0.00000 2.00000 0.92100 1.00000 0.89700 1.00000
2 8 1 FO 1255.80000 145.00000 3 6 1172.10000 193.40000 1172.10000 96.70000 1255.80000 48.40000 1339.50000 96.70000 1339.50000 193.30000 1255.80000 241.70000 1172.10000 193.40000 0 0 0.00000 2.00000 0.64900 1.00000 0.64400 1.00000
