# this is V11.1:
#  same geometry (i.e. wafer type, vertices coordinates etc)
#  as we got from M. Noy at the start of our (PS, GF) work, i.e. here:
# https://gitlab.cern.ch/mnoy/hgcal_modmap/-/blob/59b99c3771802d268d31a3f0c9ff84ccbd044d83/geometries/v11.1/geomCMSSW1-50_corrected_withmult_F_rotations_subcassettes.txt
# differences w.r.t it are organisation of numbers and extra columns:
# - vertices coordinates are always 2x12, to have fixed format
# - U,V added, as computed by MB_engine.py
# - cassette and sub-cassette index are now 2 separate columns (they were a single one, with two comma-separated-nums)
# - columns added: hash to identify each sensor,
#
plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
2 FI 753.5 145.0 3 6 669.8 193.3 669.8 96.7 753.5 48.3 837.2 96.7 837.2 193.3 753.5 241.6 669.8 193.3 0 0 62.95 4.07 1.27 3.25 2 4 5 1 205010 -1 False 6 7.200000000000001 3 10.892577628002886
2 FI 669.8 -0.0 3 6 586.1 48.3 586.1 -48.3 669.8 -96.7 753.5 -48.3 753.5 48.3 669.8 96.7 586.1 48.3 0 0 100.83 5.39 2.17 4.09 3 5 4 0 204000 -1 False 6 7.200000000000001 3 -0.0
2 FO 1172.1 580.0 4 6 1088.4 628.4 1088.3 531.7 1172.1 483.3 1255.8 531.7 1255.8 628.4 1172.1 676.7 1088.4 628.4 0 0 11.0 1.45 0.37 1.57 1 2 9 4 209040 -1 False 3 3.6000000000000005 4 26.327969248565633
2 FM 1088.4 435.0 3 6 1004.7 483.3 1004.6 386.7 1088.4 338.3 1172.1 386.7 1172.1 483.3 1088.3 531.7 1004.7 483.3 0 0 16.37 1.8 0.49 1.79 1 2 8 3 208030 -1 False 3 3.6000000000000005 3 21.78507038617312
2 FM 1004.6 290.0 3 6 921.0 338.4 920.9 241.7 1004.7 193.4 1088.4 241.7 1088.4 338.3 1004.6 386.7 921.0 338.4 0 0 24.01 2.23 0.65 2.07 1 3 7 2 207020 -1 False 3 3.6000000000000005 3 16.101953696026293
2 FM 920.9 145.0 3 6 837.2 193.3 837.2 96.7 920.9 48.3 1004.6 96.6 1004.7 193.4 920.9 241.7 837.2 193.3 0 0 34.54 2.77 0.82 2.41 1 3 6 1 206010 -1 False 3 3.6000000000000005 3 8.94802394844151
2 FM 837.2 -0.0 3 6 753.5 48.3 753.5 -48.3 837.2 -96.7 920.9 -48.3 920.9 48.3 837.2 96.7 753.5 48.3 0 0 47.39 3.42 1.02 2.83 2 3 5 0 205000 -1 False 3 3.6000000000000005 3 -0.0
2 FM 1172.1 290.0 3 6 1088.4 338.3 1088.4 241.7 1172.1 193.4 1255.8 241.7 1255.8 338.3 1172.1 386.7 1088.4 338.3 0 0 13.49 1.7 0.42 1.73 1 2 8 2 208020 -1 False 3 3.6000000000000005 3 13.896986363842663
2 FM 1088.4 145.0 3 6 1004.7 193.4 1004.6 96.6 1088.4 48.3 1172.1 96.7 1172.1 193.4 1088.4 241.7 1004.7 193.4 0 0 20.07 2.03 0.57 1.94 1 2 7 1 207010 -1 False 3 3.6000000000000005 3 7.5884365557171005
2 FM 1004.6 -0.0 3 6 920.9 48.3 920.9 -48.3 1004.7 -96.7 1088.3 -48.3 1088.4 48.3 1004.6 96.6 920.9 48.3 0 0 26.71 2.4 0.69 2.18 1 3 6 0 206000 -1 False 3 3.6000000000000005 3 -0.0
2 FO 1255.8 145.0 3 6 1172.1 193.4 1172.1 96.7 1255.8 48.4 1339.5 96.7 1339.5 193.3 1255.8 241.7 1172.1 193.4 0 0 11.68 1.55 0.38 1.63 1 2 8 1 208010 -1 False 3 3.6000000000000005 3 6.5864471615834
2 FM 1172.1 -0.0 3 6 1088.4 48.3 1088.3 -48.3 1172.1 -96.7 1255.8 -48.4 1255.8 48.4 1172.1 96.7 1088.4 48.3 0 0 15.37 1.8 0.46 1.79 1 2 7 0 207000 -1 False 3 3.6000000000000005 3 -0.0
2 dIe 251.2 145.0 6 5 251.2 241.7 226.6 227.5 310.3 82.5 334.9 96.7 334.9 193.3 251.2 241.7 -99.0 -99.0 0 0 122.25 7.76 2.51 4.96 3 6 2 1 202010 -1 False 3 3.6000000000000005 6 29.994801432322543
2 gIe 334.9 -0.0 6 6 334.9 96.7 310.3 82.5 310.3 -82.5 334.9 -96.7 418.6 -48.3 418.6 48.3 334.9 96.7 0 0 227.43 13.84 4.21 6.94 5 8 2 0 202000 -1 False 6 7.200000000000001 6 -0.0
2 aOe 837.2 1160.1 4 4 920.9 1111.7 753.4 1208.4 753.5 1111.7 837.2 1063.4 920.9 1111.7 -99.0 -99.0 -99.0 -99.0 0 0 3.27 0.63 0.2 1.05 1 2 9 8 209080 -1 False 3 3.6000000000000005 4 54.18345052907115
